,name,avg_viewers,time_streamed,all_time_peak_viewers,hours_watched,rank,follower_gained,total_followers,total_views
1497,CHOCOLATIER_PAULGARDERES,100,28.6,2378,2900.0,28970,41.0,10700.0,--
1498,YETENSONE,109,18.7,1781,2000.0,28989,104.0,56600.0,--
1499,SKEELINGTON,107,20.6,444,2200.0,29000,154.0,13400.0,--
1500,THORGAL006,47,162.3,8934,7700.0,29003,158.0,10400.0,--
1501,HQRDEST,61,103.8,4115,6400.0,29015,38.0,22200.0,551000
1502,LEPIRATEROUX,59,109.9,1311,6500.0,29020,121.0,24900.0,--
1503,YANNOCK_,97,31.9,436,3100.0,29043,35.0,3100.0,--
1504,VELZINHOO,122,6.2,164,759.0,29073,0.0,10500.0,--
1505,PANGO_DELBARRIO,53,133.8,702,7100.0,29090,786.0,9600.0,--
1506,BRAAMZ,117,10.3,3997,1200.0,29100,41.0,36900.0,959000
1507,AYAMITSU_,47,161.9,106,7600.0,29113,41.0,1500.0,--
1508,HEKHATOMBE,75,67.1,553,5100.0,29122,126.0,4400.0,--
1509,SAMUEL225_,116,11.1,666,1300.0,29161,402.0,29700.0,--
1510,LANINISTERIE,117,10.3,392,1200.0,29163,179.0,1800.0,--
1511,STANRENART,83,51.9,371,4300.0,29182,190.0,5100.0,--
1512,1VBELLAA,122,5.8,4027,702.0,29285,6.0,7200.0,--
1513,YOANNJPEG,60,106.7,718,6400.0,29301,148.0,980,--
1514,GOONIE,85,48.0,1863,4100.0,29306,58.0,4500.0,--
1515,CISKHAN_,69,79.5,1314,5500.0,29315,42.0,3000.0,--
1516,KLR_STREAM,72,72.3,312,5200.0,29316,66.0,5800.0,--
1517,BIYONA,79,57.6,142,4600.0,29358,71.0,2100.0,--
1518,ISLIDETV,81,54.1,1396,4400.0,29362,467.0,4400.0,--
1519,TONYTONY69_,57,114.8,250,6600.0,29400,447.0,10400.0,--
1520,DANILSR1,37,229.4,77,8400.0,29403,153.0,6100.0,--
1521,PIRASTACK,61,102.5,3225,6200.0,29408,218.0,239000,1180000.0
1522,DEINOKA,66,87.5,246,5700.0,29437,30.0,3700.0,--
1523,GRYNGOSS,45,169.5,1391,7600.0,29443,46.0,45000.0,2580000.0
1524,MAKACHANTV,64,92.4,511,5900.0,29464,307.0,2500.0,--
1525,CATCHCLUB,109,16.4,880,1800.0,29478,110.0,16500.0,--
1526,NOBREAK0,83,49.8,4849,4200.0,29498,13.0,13300.0,--
1527,GZORR_,45,169.8,787,7600.0,29503,68.0,623,--
1528,YALABAC,88,41.5,648,3600.0,29537,273.0,2400.0,--
1529,MIALYMUSIC,86,45.1,14791,3900.0,29540,170.0,8800.0,--
